id,span,matches,innings,not_out,runs,high_score,average_score,ball_faced,strike_rate,100s,50,0s,4s,6s
388802,2012-2023,123,113,14,3467,145*,35.02,4065,85.28,7,18,10,298,49
355269,2013-2022,71,61,11,1409,97*,28.18,1424,98.94,0,6,2,123,35
539511,2015-2023,61,59,11,1652,124*,34.41,2019,81.82,1,13,5,153,16
381743,2021-2023,19,16,3,479,100*,36.84,551,86.93,1,2,0,40,8
935995,2020-2022,22,19,5,495,93*,35.35,546,90.65,0,3,2,45,7
823509,2022-2023,15,11,1,312,63*,31.2,345,90.43,0,1,0,23,12
380354,2012-2022,44,41,0,1254,120,30.58,1691,74.15,3,5,6,122,27
932355,2022-2022,4,3,1,0,0*,0,6,0,0,0,2,0,0
926629,2021-2022,6,3,0,1,1,0.33,11,9.09,0,0,2,0,0
536936,2015-2022,60,60,5,1912,176,34.76,2183,87.58,5,7,7,207,29
833087,2021-2021,3,3,0,24,14,8,33,72.72,0,0,0,1,2
629063,2017-2022,67,42,9,756,100*,22.9,958,78.91,1,2,3,66,15
56025,2007-2022,215,187,50,4879,128*,35.61,6392,76.32,3,27,9,362,76
629070,2017-2021,29,19,9,362,51*,36.2,422,85.78,0,2,1,29,6
990081,2020-2021,2,1,0,1,1,1,2,50,0,0,0,0,0
373696,2012-2018,28,26,1,557,60,22.28,749,74.36,0,3,1,60,1
550133,2016-2022,43,35,10,634,52*,25.36,766,82.76,0,3,1,58,13
56029,2006-2022,239,224,37,6811,144,36.42,8646,78.77,8,42,11,535,85
330902,2015-2022,82,36,22,105,18*,7.5,183,57.37,0,0,6,13,0
629058,2018-2022,15,15,0,210,38,14,345,60.86,0,0,2,22,2
348049,2022-2022,4,1,1,18,18*,,11,163.63,0,0,0,2,1
410765,2016-2022,6,5,3,165,45*,82.5,174,94.82,0,0,0,15,3
373538,2014-2019,66,59,7,1333,102,25.63,1461,91.23,1,6,5,153,24
526441,2019-2023,29,22,9,261,32,20.07,247,105.66,0,0,1,17,14
303423,2010-2023,89,86,6,2665,145*,33.31,3520,75.71,8,13,5,257,34
595921,2020-2023,19,16,1,471,68,31.4,655,71.9,0,4,0,41,4
1099379,2020-2023,14,13,4,159,22,17.66,178,89.32,0,0,1,17,3
348034,2010-2023,105,73,24,928,74,18.93,1190,77.98,0,3,5,76,17
961401,,3,2,0,87,84,43.5,120,72.5,0,1,0,7,1
303508,2019-2021,4,2,1,23,16*,23,23,100,0,0,0,2,1
379144,,4,1,1,7,7*,,11,63.63,0,0,0,0,0
928067,2019-2023,25,10,3,26,9*,3.71,39,66.66,0,0,3,4,0
417381,2014-2023,70,46,12,672,79,19.76,942,71.33,0,2,2,60,11
348059,2016-2021,38,26,6,162,18,8.1,285,56.84,0,0,4,13,1
1112535,2022-2022,3,2,0,7,5,3.5,23,30.43,0,0,0,0,0
1005257,2017-2022,35,30,4,593,100*,22.8,815,72.76,1,1,2,47,7
303427,2008-2023,142,138,3,5230,177,38.74,6043,86.54,13,26,11,562,121
961407,2020-2023,26,25,5,1071,113,53.55,1327,80.7,3,8,2,85,21
928057,2019-2023,32,26,2,483,83,20.12,674,71.66,0,2,2,31,8
232438,2013-2023,18,17,1,372,79,23.25,538,69.14,0,3,1,25,1
495964,2017-2023,37,32,5,617,59,22.85,809,76.26,0,4,1,50,13
293831,2008-2022,61,57,3,1188,102,22,1751,67.84,1,4,3,93,9
425639,2013-2023,80,54,25,192,23,6.62,409,46.94,0,0,9,16,2
55354,2005-2023,109,109,2,2474,99,23.12,3913,63.22,0,16,8,238,14
1059122,,5,4,2,11,6*,5.5,16,68.75,0,0,0,2,0
696127,,11,9,2,101,33*,14.42,119,84.87,0,0,0,7,2
55412,2010-2023,107,103,12,2948,130*,32.39,3930,75.01,3,18,9,275,37
541224,2014-2023,37,31,4,352,46,13.03,440,80,0,0,3,35,6
465327,2022-2023,14,14,1,384,110,29.53,589,65.19,1,2,0,36,4
493765,2022-2022,8,8,0,126,42,15.75,186,67.74,0,0,2,16,2
938959,2020-2023,26,25,0,487,72,19.48,663,73.45,0,4,1,43,3
1045883,,3,3,1,42,24,21,61,68.85,0,0,0,5,0
946507,2021-2023,11,10,0,139,45,13.9,236,58.89,0,0,2,14,1
571703,2015-2023,26,15,3,68,15,5.66,152,44.73,0,0,4,6,0
806239,2018-2023,8,5,1,52,20,13,47,110.63,0,0,1,5,1
1122853,2022-2022,6,6,1,92,30*,18.4,134,68.65,0,0,0,8,2
596375,2016-2022,16,16,1,308,60,20.53,387,79.58,0,1,1,30,5
235516,2014-2020,36,34,2,618,74,19.31,847,72.96,0,3,4,61,13
827051,2018-2022,33,27,8,64,17,3.36,179,35.75,0,0,9,5,1
946517,2021-2022,5,5,0,96,34,19.2,157,61.14,0,0,0,9,0
596456,2019-2019,2,,,,,,,,,,,,
806241,2017-2023,30,19,9,108,34*,10.8,151,71.52,0,0,4,11,4
398438,2020-2020,5,5,0,86,32,17.2,83,103.61,0,0,0,12,1
1125976,,3,1,0,9,9,9,9,100,0,0,0,0,1
26421,2010-2022,113,63,20,707,65,16.44,813,86.96,0,1,6,60,7
694211,2022-2022,5,2,0,13,10,6.5,18,72.22,0,0,0,2,0
430246,2016-2023,72,14,5,77,18*,8.55,141,54.6,0,0,1,8,0
625383,2016-2022,72,20,13,47,14*,6.71,93,50.53,0,0,5,5,1
