id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
348026,,-,49.6,,0,0,1,179,,248,0,0,2019-2019
431902,2.33,Feb-77,53,50.66,0,0,0,52,,53,0,3,2022-2022
333066,,-,26.72,,21,0,2,130,,1283,1,0,2012-2016
946517,6.2,13-Jan,19.2,13,3,0,0,34,,96,0,1,2021-2022
391832,-18.69,30-Mar,24.04,42.73,13,0,0,94,,553,0,19,2017-2022
495551,-21.4,May-46,11,32.4,19,1,0,17,,88,0,52,2015-2021
1168667,,,7,,1,,0,9,,14,1,,2021-2021
670025,,,35.29,,19,,5,139,,1447,0,,2017-2021
391485,-11.99,27-May,24.3,36.3,61,2,0,99*,,2042,0,153,2013-2022
530812,-14.55,Apr-39,13.76,28.31,14,0,0,60,,234,0,44,2021-2022
581379,,,48.95,,107,,13,170,,4308,11,,2016-2022
670035,,,23.94,,3,,0,91*,,431,0,,2019-2022
670031,-9.23,May-56,18.44,27.67,15,1,0,49,,332,0,87,2016-2022
1086206,,Mar-67,,22.33,3,0,,,,,0,3,2022-2022
431901,,,36.94,,20,,4,176*,,1847,0,,2016-2021
56143,8.49,29-May,37.55,29.06,54,4,9,134*,,6835,0,294,2006-2022
990039,-26.08,Apr-34,3.6,29.68,2,0,0,8,,18,0,19,2021-2022
401057,-10.01,28-May,12.33,22.35,1,1,0,39*,,74,0,20,2014-2022
436677,-3.21,Mar-56,32.14,35.36,34,0,2,127*,,1768,0,11,2014-2021
538506,-27.07,28-May,5.93,33.01,9,2,0,17*,,95,0,69,2014-2022
629059,,-,15.6,,2,0,0,50,,78,0,0,2022-2022
56194,,-,37.03,,65,0,14,158,,8074,0,0,2007-2022
398666,-17.05,1-Feb,17.5,34.55,3,0,0,49,,105,0,9,2014-2022
272477,-28.5,May-44,7,35.5,3,1,0,11*,,21,0,16,2019-2022
505120,-27.3,Feb-31,21.41,48.72,10,0,0,46,,257,0,18,2015-2022
446548,-42.31,Mar-67,3,45.31,3,0,0,4,,9,0,16,2016-2016
326434,,,35.41,,71,,1,106,,1629,8,,2018-2022
489889,-17.48,May-70,10.12,27.61,19,1,0,36,,324,0,124,2011-2022
826915,-40.66,Jan-36,6,46.66,0,0,0,3*,,6,0,3,2022-2022
5334,-25.85,2-Jan,38.89,64.75,71,0,17,153*,,5406,0,4,2013-2022
1076713,28.72,May-33,58,29.27,5,1,0,89*,,290,0,11,2020-2022
334337,,,33.26,,14,,1,117,,632,0,,2017-2019
530011,-17.91,22-Feb,40.51,58.42,13,0,3,152,,1823,0,14,2016-2022
288284,-5.36,Jun-52,20.25,25.61,22,3,0,23*,,81,0,108,2010-2022
662235,,,7.5,,0,,0,10,,15,0,,2022-2022
787987,-66.34,19-Feb,32.16,98.5,10,0,1,108,,804,0,2,2020-2022
215155,,,42,,13,,2,104,,1554,0,,2013-2019
272279,-26.75,Apr-44,19.25,46,7,0,0,30,,77,0,29,2012-2019
603410,,,44.6,,0,,1,104,,223,0,,2021-2022
376169,-56,Feb-46,4,60,0,0,0,6,,8,0,2,2018-2018
922941,,,2,,0,,0,2,,2,0,,2022-2022
623977,2.33,Feb-42,61.33,59,3,0,0,50*,,184,0,2,2022-2023
325026,-15.97,Apr-46,34.13,50.11,79,0,2,108,,3482,0,60,2012-2022
272450,-3.03,May-33,32.39,35.42,31,1,1,102*,,1814,0,54,2011-2022
494230,,-,25.46,,6,0,0,52,,382,0,0,2018-2022
39037,-28.1,26-Feb,36.9,65,8,0,3,102,,1845,0,4,2011-2018
348144,,,59.41,,44,,17,158,,4813,0,,2015-2023
681117,-34.61,22-May,11.47,46.08,8,1,0,28,,218,0,23,2017-2021
512191,-65.34,19-Jan,45.65,111,31,0,8,210*,,2785,0,1,2017-2023
40250,-35.15,8-Jan,40.25,75.4,10,0,1,114*,,966,0,5,2007-2015
1168651,,,21,,1,,0,29,,42,0,,2020-2020
1161606,-25.93,Apr-65,3.33,29.26,5,0,0,7,,10,0,30,2020-2023
318788,-10.88,Mar-45,44.84,55.72,17,0,2,130,,1749,0,11,2013-2023
480603,-14.32,May-40,24.8,39.12,8,1,0,32*,,124,0,8,2015-2022
